epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1464.98,0.88415,1.43291,0.78725,1.07157,0.75832,0.751,0.78117,0.58698,0.6795,0.63855,0.62856,0.21863,1.01541,1.18199,0.98022,1.06898,0.001109,0.001109,0.001109
47,1496.07,0.86457,1.42171,0.74604,1.05659,0.79439,0.72927,0.76544,0.54201,0.70554,0.6506,0.62649,0.20685,1.03369,1.16108,1.04705,1.07677,0.0010892,0.0010892,0.0010892
48,1527.4,0.86863,1.40834,0.7594,1.05906,0.77528,0.71486,0.76711,0.566,0.68522,0.61196,0.59823,0.20672,1.03275,1.18028,1.01862,1.1205,0.0010694,0.0010694,0.0010694
49,1558.48,0.8757,1.42796,0.77092,1.06494,0.83036,0.70281,0.7679,0.56276,0.73658,0.62888,0.61868,0.21038,1.02292,1.20283,1.00928,1.08953,0.0010496,0.0010496,0.0010496
50,1589.56,0.85766,1.40176,0.75084,1.06142,0.83077,0.70977,0.78007,0.58707,0.69535,0.66265,0.64354,0.21341,0.99626,1.17094,0.94935,1.06322,0.0010298,0.0010298,0.0010298
51,1620.64,0.85586,1.39529,0.74543,1.05501,0.78993,0.751,0.77162,0.56301,0.7015,0.65863,0.62864,0.22184,1.01998,1.17079,1.02053,1.05578,0.00101,0.00101,0.00101
52,1651.84,0.858,1.39941,0.75051,1.05751,0.83689,0.74183,0.784,0.59003,0.7395,0.66123,0.63867,0.20904,0.97076,1.2006,0.97244,1.04601,0.0009902,0.0009902,0.0009902
53,1682.91,0.84313,1.41816,0.72815,1.05102,0.81411,0.73494,0.77742,0.57586,0.70546,0.63855,0.60956,0.20256,0.97703,1.17716,0.96871,1.05048,0.0009704,0.0009704,0.0009704
54,1713.95,0.84842,1.39649,0.74164,1.05722,0.85129,0.71888,0.7754,0.58316,0.74461,0.6323,0.63797,0.21605,0.96878,1.17329,0.96723,1.04933,0.0009506,0.0009506,0.0009506
55,1745.23,0.84355,1.41457,0.74664,1.05564,0.82125,0.73806,0.77019,0.57472,0.72048,0.65863,0.63121,0.21169,0.98732,1.18739,0.96967,1.06416,0.0009308,0.0009308,0.0009308
56,1777.11,0.83353,1.39427,0.7158,1.04273,0.83859,0.72691,0.78713,0.60141,0.69791,0.64949,0.62127,0.21475,0.94057,1.15854,0.96243,1.03035,0.000911,0.000911,0.000911
57,1808.16,0.84378,1.41307,0.74526,1.05014,0.8491,0.70683,0.7658,0.56194,0.73814,0.61446,0.59977,0.21387,1.00684,1.16576,0.97271,1.07257,0.0008912,0.0008912,0.0008912
58,1839.2,0.8429,1.40572,0.72869,1.05032,0.83343,0.72338,0.79083,0.59361,0.70818,0.6506,0.64928,0.21852,0.96297,1.16987,0.95665,1.04731,0.0008714,0.0008714,0.0008714
59,1870.79,0.84027,1.40819,0.72586,1.04772,0.81486,0.72473,0.77573,0.58901,0.72271,0.64897,0.63679,0.21025,0.97749,1.17238,0.95674,1.041,0.0008516,0.0008516,0.0008516
60,1902,0.81574,1.38324,0.70093,1.04053,0.77018,0.71084,0.77857,0.59819,0.6726,0.63052,0.6374,0.22098,0.94965,1.15928,0.94886,1.02611,0.0008318,0.0008318,0.0008318
61,1933.1,0.83397,1.40604,0.7126,1.0436,0.7994,0.71888,0.78599,0.58699,0.73003,0.60643,0.62926,0.20669,0.96524,1.1908,0.9399,1.05297,0.000812,0.000812,0.000812
62,1964.14,0.82877,1.38874,0.70587,1.0405,0.83024,0.70711,0.77308,0.58987,0.73792,0.63322,0.64205,0.2128,0.99668,1.17032,0.98176,1.0623,0.0007922,0.0007922,0.0007922
63,1995.23,0.82209,1.38553,0.70169,1.03972,0.80288,0.70683,0.7653,0.58781,0.74174,0.60643,0.64417,0.21419,0.96052,1.17255,0.96783,1.06701,0.0007724,0.0007724,0.0007724
64,2026.48,0.822,1.37277,0.69565,1.04346,0.78246,0.73092,0.75378,0.57532,0.70445,0.65863,0.64504,0.21143,0.95852,1.18686,0.95765,1.02115,0.0007526,0.0007526,0.0007526
65,2057.57,0.81862,1.37693,0.69683,1.03873,0.82844,0.70281,0.77243,0.59394,0.73725,0.61979,0.64476,0.21195,0.91378,1.17425,0.93747,1.02439,0.0007328,0.0007328,0.0007328
66,2088.66,0.81479,1.36043,0.68826,1.0375,0.8492,0.68675,0.77103,0.58876,0.70174,0.64659,0.637,0.21234,0.94507,1.18067,0.94761,1.01006,0.000713,0.000713,0.000713
67,2119.72,0.81196,1.3959,0.69081,1.0365,0.83063,0.70907,0.78281,0.59183,0.7479,0.63052,0.65092,0.21833,0.94905,1.18626,0.94651,1.01245,0.0006932,0.0006932,0.0006932
68,2150.78,0.80403,1.38264,0.68524,1.03898,0.8406,0.71486,0.79215,0.6148,0.74033,0.62651,0.64174,0.22348,0.93713,1.18898,0.93203,0.99754,0.0006734,0.0006734,0.0006734
69,2182.05,0.80188,1.37144,0.67278,1.02655,0.80567,0.74297,0.79325,0.60985,0.69515,0.64106,0.64069,0.22308,0.93457,1.17642,0.94674,1.01538,0.0006536,0.0006536,0.0006536
70,2213.16,0.80921,1.37111,0.67514,1.03429,0.81211,0.69076,0.76757,0.58102,0.69941,0.61847,0.62095,0.20264,0.95966,1.19263,0.97197,1.02046,0.0006338,0.0006338,0.0006338
71,2244.25,0.80625,1.36617,0.6932,1.03075,0.81018,0.71084,0.76717,0.58948,0.71712,0.61086,0.61,0.2143,0.92452,1.17086,0.9611,1.01888,0.000614,0.000614,0.000614
72,2275.31,0.79322,1.34481,0.66628,1.02941,0.80515,0.72289,0.76542,0.57418,0.6992,0.63454,0.61527,0.21924,1.00193,1.19369,0.94625,1.06498,0.0005942,0.0005942,0.0005942
73,2306.51,0.79195,1.34597,0.66784,1.03118,0.79604,0.73494,0.78686,0.59399,0.68433,0.66265,0.66006,0.21856,0.93133,1.18979,0.94552,1.00507,0.0005744,0.0005744,0.0005744
74,2337.57,0.79731,1.37719,0.67203,1.03032,0.83841,0.73092,0.77255,0.5981,0.73706,0.64257,0.64195,0.21887,0.92144,1.18732,0.94162,1.01655,0.0005546,0.0005546,0.0005546
75,2368.65,0.77868,1.35473,0.65567,1.02117,0.80017,0.73092,0.77981,0.59692,0.72542,0.66265,0.66423,0.21736,0.94198,1.19592,0.93499,1.0294,0.0005348,0.0005348,0.0005348
76,2399.74,0.78906,1.35378,0.6684,1.03149,0.82389,0.73273,0.7723,0.58612,0.70442,0.66039,0.63465,0.2147,0.9102,1.19383,0.90836,1.01418,0.000515,0.000515,0.000515
77,2430.96,0.78519,1.36303,0.65838,1.02309,0.84902,0.74527,0.77389,0.58901,0.75349,0.6747,0.65214,0.21551,0.93176,1.17335,0.90664,1.01425,0.0004952,0.0004952,0.0004952
78,2462.06,0.77252,1.33033,0.63993,1.01759,0.7958,0.75127,0.77483,0.58745,0.75931,0.63052,0.63946,0.21445,0.93887,1.18823,0.90257,1.01523,0.0004754,0.0004754,0.0004754
79,2493.14,0.77636,1.35673,0.63895,1.01863,0.83063,0.70905,0.76918,0.59815,0.73662,0.629,0.65138,0.21738,0.92459,1.1926,0.92477,1.00495,0.0004556,0.0004556,0.0004556
80,2524.21,0.77303,1.34508,0.64339,1.01983,0.84278,0.72289,0.77656,0.59678,0.74294,0.6506,0.64621,0.21016,0.9193,1.18438,0.89324,1.01337,0.0004358,0.0004358,0.0004358
81,2555.46,0.77575,1.34782,0.63492,1.01937,0.83587,0.73632,0.7961,0.61334,0.7368,0.64659,0.66366,0.2256,0.91976,1.17999,0.90343,1.022,0.000416,0.000416,0.000416
82,2586.51,0.77295,1.35664,0.62806,1.02276,0.81021,0.70294,0.77342,0.59738,0.74119,0.64407,0.64467,0.21094,0.91562,1.1726,0.88987,1.02179,0.0003962,0.0003962,0.0003962
83,2617.59,0.75746,1.33852,0.63646,1.01558,0.81928,0.73494,0.77505,0.58701,0.73836,0.66869,0.65943,0.21107,0.92187,1.18066,0.90272,1.01271,0.0003764,0.0003764,0.0003764
84,2649.26,0.76571,1.33426,0.63186,1.02047,0.77683,0.76305,0.76476,0.57649,0.71715,0.66187,0.64597,0.21161,0.94338,1.1765,0.9152,1.03873,0.0003566,0.0003566,0.0003566
85,2680.62,0.76255,1.3345,0.63499,1.01384,0.83611,0.73092,0.77594,0.58991,0.73225,0.659,0.65114,0.21396,0.92931,1.17557,0.89721,1.00614,0.0003368,0.0003368,0.0003368
86,2711.75,0.76685,1.34837,0.62568,1.01282,0.82885,0.71486,0.78004,0.59147,0.72621,0.66667,0.66129,0.21267,0.93236,1.16874,0.88908,1.02461,0.000317,0.000317,0.000317
87,2742.86,0.75509,1.33151,0.61912,1.00785,0.81331,0.75232,0.77438,0.59807,0.73192,0.66667,0.65125,0.21424,0.93224,1.18283,0.90447,1.02143,0.0002972,0.0002972,0.0002972
